dataview-body,dataview-body href,dataview-body (2),dataview-body href (2),dataview-body (3),red href,dataview-body href (4),green,green (2),green (3),green (4),dataview-body (6),dataview-body (7),green (5),green (6),red (2),red (3),red (4),red (5),green (7),green (8),red (6),red (7),green (9),green (10)
119,https://quote.eastmoney.com/unify/r/1.688297,688297,https://data.eastmoney.com/stockdata/688297.html,中无人机,https://data.eastmoney.com/zjlx/688297.html,"https://guba.eastmoney.com/list,688297.html",31.92,-2.33%,-318.01万,-5.29%,,,-281.23万,-4.67%,162.30万,2.70%,155.71万,2.59%,-36.78万,-0.61%,,,,
120,https://quote.eastmoney.com/unify/r/0.000757,000757,https://data.eastmoney.com/stockdata/000757.html,浩物股份,https://data.eastmoney.com/zjlx/000757.html,"https://guba.eastmoney.com/list,000757.html",-14.06%,-336.49万,-336.49万,-14.06%,0.00,0.00%,-26.78万,-1.12%,2.60,1.17%,363.27万,15.18%,,,,,,
121,https://quote.eastmoney.com/unify/r/0.001288,001288,https://data.eastmoney.com/stockdata/001288.html,运机集团,https://data.eastmoney.com/zjlx/001288.html,"https://guba.eastmoney.com/list,001288.html",27.06,-2.80%,-337.03万,-7.68%,,,-246.78万,-5.62%,360.64万,8.22%,,,-90.25万,-2.06%,,,-23.60万,-0.54%
122,https://quote.eastmoney.com/unify/r/0.002818,002818,https://data.eastmoney.com/stockdata/002818.html,富森美,https://data.eastmoney.com/zjlx/002818.html,"https://guba.eastmoney.com/list,002818.html",-11.13%,-119.83万,-339.26万,-3.93%,,,-219.43万,-7.20%,12.04,0.50%,616.78万,20.23%,-277.52万,-9.10%,,,,
123,https://quote.eastmoney.com/unify/r/1.600828,600828,https://data.eastmoney.com/stockdata/600828.html,茂业商业,https://data.eastmoney.com/zjlx/600828.html,"https://guba.eastmoney.com/list,600828.html",-8.96%,-390.60万,-340.82万,-10.27%,,,,,2.53,2.85%,49.78万,1.31%,,,192.64万,5.07%,,
124,https://quote.eastmoney.com/unify/r/0.300780,300780,https://data.eastmoney.com/stockdata/300780.html,德恩精工,https://data.eastmoney.com/zjlx/300780.html,"https://guba.eastmoney.com/list,300780.html",12.88,-4.17%,-353.19万,-4.70%,,,-103.69万,-1.38%,662.86万,8.82%,,,-249.51万,-3.32%,,,-309.67万,-4.12%
125,https://quote.eastmoney.com/unify/r/0.002240,002240,https://data.eastmoney.com/stockdata/002240.html,盛新锂能,https://data.eastmoney.com/zjlx/002240.html,"https://guba.eastmoney.com/list,002240.html",-3.38%,-158.90万,-363.17万,-1.48%,,,-204.27万,-1.90%,13.76,0.29%,364.07万,3.39%,-8986.00,-0.01%,,,,
126,https://quote.eastmoney.com/unify/r/1.601107,601107,https://data.eastmoney.com/stockdata/601107.html,四川成渝,https://data.eastmoney.com/zjlx/601107.html,"https://guba.eastmoney.com/list,601107.html",5.33,-0.19%,-368.02万,-9.97%,,,-462.82万,-12.54%,94.80万,2.57%,50.71万,1.37%,,,317.31万,8.60%,,
127,https://quote.eastmoney.com/unify/r/1.603077,603077,https://data.eastmoney.com/stockdata/603077.html,和邦生物,https://data.eastmoney.com/zjlx/603077.html,"https://guba.eastmoney.com/list,603077.html",1.68,-1.18%,-386.08万,-5.30%,,,-246.96万,-3.39%,310.61万,4.26%,75.47万,1.04%,-139.12万,-1.91%,,,,
128,https://quote.eastmoney.com/unify/r/0.300370,300370,https://data.eastmoney.com/stockdata/300370.html,安控科技,https://data.eastmoney.com/zjlx/300370.html,"https://guba.eastmoney.com/list,300370.html",1.73,-0.57%,-401.13万,-11.97%,0.00,0.00%,-401.13万,-11.97%,286.43万,8.55%,114.70万,3.42%,,,,,,
129,https://quote.eastmoney.com/unify/r/1.601399,601399,https://data.eastmoney.com/stockdata/601399.html,国机重装,https://data.eastmoney.com/zjlx/601399.html,"https://guba.eastmoney.com/list,601399.html",2.59,-0.77%,-455.15万,-10.68%,,,-314.09万,-7.37%,287.15万,6.74%,168.00万,3.94%,-141.06万,-3.31%,,,,
130,https://quote.eastmoney.com/unify/r/1.603809,603809,https://data.eastmoney.com/stockdata/603809.html,豪能股份,https://data.eastmoney.com/zjlx/603809.html,"https://guba.eastmoney.com/list,603809.html",8.16,-2.28%,-459.00万,-5.05%,,,-941.77万,-10.36%,482.78万,5.31%,540.33万,5.95%,-81.33万,-0.89%,,,,
131,https://quote.eastmoney.com/unify/r/0.300467,300467,https://data.eastmoney.com/stockdata/300467.html,迅游科技,https://data.eastmoney.com/zjlx/300467.html,"https://guba.eastmoney.com/list,300467.html",13.30,-4.04%,-467.12万,-8.51%,,,-118.10万,-2.15%,144.25万,2.63%,322.87万,5.88%,-349.01万,-6.36%,,,,
132,https://quote.eastmoney.com/unify/r/0.301172,301172,https://data.eastmoney.com/stockdata/301172.html,君逸数码,https://data.eastmoney.com/zjlx/301172.html,"https://guba.eastmoney.com/list,301172.html",28.20,-5.97%,-467.85万,-6.78%,,,-102.67万,-1.49%,199.39万,2.89%,268.46万,3.89%,-365.18万,-5.29%,,,,
133,https://quote.eastmoney.com/unify/r/1.600109,600109,https://data.eastmoney.com/stockdata/600109.html,国金证券,https://data.eastmoney.com/zjlx/600109.html,"https://guba.eastmoney.com/list,600109.html",-5.87%,-457.73万,-480.62万,-5.59%,7.52,0.00%,-22.89万,-0.28%,295.43万,3.61%,185.19万,2.26%,,,,,,
134,https://quote.eastmoney.com/unify/r/1.603261,603261,https://data.eastmoney.com/stockdata/603261.html,立航科技,https://data.eastmoney.com/zjlx/603261.html,"https://guba.eastmoney.com/list,603261.html",27.10,-3.39%,-481.75万,-11.52%,,,-51.09万,-1.22%,643.15万,15.38%,,,-430.66万,-10.30%,,,-161.40万,-3.86%
135,https://quote.eastmoney.com/unify/r/1.600678,600678,https://data.eastmoney.com/stockdata/600678.html,四川金顶,https://data.eastmoney.com/zjlx/600678.html,"https://guba.eastmoney.com/list,600678.html",5.11,-2.67%,-488.30万,-8.41%,,,-181.99万,-3.13%,692.18万,11.92%,,,-306.30万,-5.28%,,,-203.88万,-3.51%
136,https://quote.eastmoney.com/unify/r/0.300127,300127,https://data.eastmoney.com/stockdata/300127.html,银河磁体,https://data.eastmoney.com/zjlx/300127.html,"https://guba.eastmoney.com/list,300127.html",14.82,-3.01%,-499.12万,-4.41%,,,-120.12万,-1.06%,699.69万,6.18%,,,-379.00万,-3.35%,,,-200.56万,-1.77%
137,https://quote.eastmoney.com/unify/r/0.002777,002777,https://data.eastmoney.com/stockdata/002777.html,久远银海,https://data.eastmoney.com/zjlx/002777.html,"https://guba.eastmoney.com/list,002777.html",14.97,-3.61%,-504.60万,-4.55%,,,-266.12万,-2.40%,1.01万,0.01%,503.58万,4.54%,-238.47万,-2.15%,,,,
